"event_id","r_event_id","trigger_id","source","host_group","host_group_id","export_month","exported_at_local","severity","severity_id","status","acknowledged","host","host_id","site_code","problem_raw","problem_signature","opdata","started_at_local","started_at_utc","recovered_at_local","recovered_at_utc","duration_seconds","duration_text","action_count","domain","component","scope","tags_text","tags_json","evidence_label"
"1450633626","1451053348","1059162","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMMDN-VSSPM02","15374","MDN","Http Monitoring","http monitoring","","2026-04-15T10:03:24+07:00","2026-04-15T03:03:24Z","2026-04-15T11:13:19+07:00","2026-04-15T04:13:19Z","4195","1h 9m 55s","0","UNKNOWN","UNKNOWN","UNKNOWN","web: http(s)","{""web"":[""http(s)""]}","SOURCE FACT"
"1450627553","1450637526","1401394","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMSNT-VSSPM01","15351","SNT","Git HTTP Monitoring","git http monitoring","","2026-04-15T10:02:35+07:00","2026-04-15T03:02:35Z","2026-04-15T10:04:29+07:00","2026-04-15T03:04:29Z","114","1m 54s","0","UNKNOWN","UNKNOWN","UNKNOWN","web: http(s)","{""web"":[""http(s)""]}","SOURCE FACT"
"1450627379","1450640398","1401388","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMSNT-VSSPM04","15354","SNT","Git HTTP Monitoring","git http monitoring","","2026-04-15T10:02:29+07:00","2026-04-15T03:02:29Z","2026-04-15T10:05:25+07:00","2026-04-15T03:05:25Z","176","2m 56s","0","UNKNOWN","UNKNOWN","UNKNOWN","web: http(s)","{""web"":[""http(s)""]}","SOURCE FACT"
"1450619640","1450665824","1263659","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMSNT-UPSF2201","17360","SNT","APC UPS: Unacceptable input frequency (out of range 49.7-50.3Hz for 15m)","apc ups: unacceptable input frequency (out of range <value> for <value>)","Current frequency: 50.2 Hz","2026-04-15T10:01:37+07:00","2026-04-15T03:01:37Z","2026-04-15T10:09:36+07:00","2026-04-15T03:09:36Z","479","7m 59s","0","power","power","notice","scope: notice, component: power, class: power, target: apc","{""scope"":[""notice""],""component"":[""power""],""class"":[""power""],""target"":[""apc""]}","SOURCE FACT"
"1450619641","1450665777","1401395","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMSNT-VSSPM02","15352","SNT","Git HTTP Monitoring","git http monitoring","","2026-04-15T10:01:36+07:00","2026-04-15T03:01:36Z","2026-04-15T10:09:33+07:00","2026-04-15T03:09:33Z","477","7m 57s","0","UNKNOWN","UNKNOWN","UNKNOWN","web: http(s)","{""web"":[""http(s)""]}","SOURCE FACT"
"1450601215","1450606312","1401394","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMSNT-VSSPM01","15351","SNT","Git HTTP Monitoring","git http monitoring","","2026-04-15T09:57:35+07:00","2026-04-15T02:57:35Z","2026-04-15T09:58:32+07:00","2026-04-15T02:58:32Z","57","57s","0","UNKNOWN","UNKNOWN","UNKNOWN","web: http(s)","{""web"":[""http(s)""]}","SOURCE FACT"
"1450587171","1450645879","1401393","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMSNT-VSEMS01","15350","SNT","Git HTTP Monitoring","git http monitoring","","2026-04-15T09:55:34+07:00","2026-04-15T02:55:34Z","2026-04-15T10:06:26+07:00","2026-04-15T03:06:26Z","652","10m 52s","0","UNKNOWN","UNKNOWN","UNKNOWN","web: http(s)","{""web"":[""http(s)""]}","SOURCE FACT"
"1450556907","1450608376","1401396","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMSNT-VSSPM03","15353","SNT","Git HTTP Monitoring","git http monitoring","","2026-04-15T09:50:39+07:00","2026-04-15T02:50:39Z","2026-04-15T09:59:30+07:00","2026-04-15T02:59:30Z","531","8m 51s","0","UNKNOWN","UNKNOWN","UNKNOWN","web: http(s)","{""web"":[""http(s)""]}","SOURCE FACT"
"1450556826","1450562772","1401393","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMSNT-VSEMS01","15350","SNT","Git HTTP Monitoring","git http monitoring","","2026-04-15T09:50:36+07:00","2026-04-15T02:50:36Z","2026-04-15T09:51:33+07:00","2026-04-15T02:51:33Z","57","57s","0","UNKNOWN","UNKNOWN","UNKNOWN","web: http(s)","{""web"":[""http(s)""]}","SOURCE FACT"
"1450530121","1450548875","1401393","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMSNT-VSEMS01","15350","SNT","Git HTTP Monitoring","git http monitoring","","2026-04-15T09:45:35+07:00","2026-04-15T02:45:35Z","2026-04-15T09:48:30+07:00","2026-04-15T02:48:30Z","175","2m 55s","0","UNKNOWN","UNKNOWN","UNKNOWN","web: http(s)","{""web"":[""http(s)""]}","SOURCE FACT"
"1450508995","1450522182","1401394","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMSNT-VSSPM01","15351","SNT","Git HTTP Monitoring","git http monitoring","","2026-04-15T09:41:38+07:00","2026-04-15T02:41:38Z","2026-04-15T09:43:26+07:00","2026-04-15T02:43:26Z","108","1m 48s","0","UNKNOWN","UNKNOWN","UNKNOWN","web: http(s)","{""web"":[""http(s)""]}","SOURCE FACT"
"1450488950","1450499298","1401388","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMSNT-VSSPM04","15354","SNT","Git HTTP Monitoring","git http monitoring","","2026-04-15T09:37:31+07:00","2026-04-15T02:37:31Z","2026-04-15T09:39:22+07:00","2026-04-15T02:39:22Z","111","1m 51s","0","UNKNOWN","UNKNOWN","UNKNOWN","web: http(s)","{""web"":[""http(s)""]}","SOURCE FACT"
"1450380405","1450389907","1401396","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMSNT-VSSPM03","15353","SNT","Git HTTP Monitoring","git http monitoring","","2026-04-15T09:17:38+07:00","2026-04-15T02:17:38Z","2026-04-15T09:19:28+07:00","2026-04-15T02:19:28Z","110","1m 50s","0","UNKNOWN","UNKNOWN","UNKNOWN","web: http(s)","{""web"":[""http(s)""]}","SOURCE FACT"
"1450320878","1450626901","1059162","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMMDN-VSSPM02","15374","MDN","Http Monitoring","http monitoring","","2026-04-15T09:07:24+07:00","2026-04-15T02:07:24Z","2026-04-15T10:02:19+07:00","2026-04-15T03:02:19Z","3295","54m 55s","0","UNKNOWN","UNKNOWN","UNKNOWN","web: http(s)","{""web"":[""http(s)""]}","SOURCE FACT"
"1450320834","1450685234","1059103","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMMDN-VSSPM01","15373","MDN","Http Monitoring","http monitoring","","2026-04-15T09:07:20+07:00","2026-04-15T02:07:20Z","2026-04-15T10:12:15+07:00","2026-04-15T03:12:15Z","3895","1h 4m 55s","0","UNKNOWN","UNKNOWN","UNKNOWN","web: http(s)","{""web"":[""http(s)""]}","SOURCE FACT"
"1450241954","1450299072","1263659","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMSNT-UPSF2201","17360","SNT","APC UPS: Unacceptable input frequency (out of range 49.7-50.3Hz for 15m)","apc ups: unacceptable input frequency (out of range <value> for <value>)","Current frequency: 50.2 Hz","2026-04-15T08:53:36+07:00","2026-04-15T01:53:36Z","2026-04-15T09:03:36+07:00","2026-04-15T02:03:36Z","600","10m","0","power","power","notice","scope: notice, component: power, class: power, target: apc","{""scope"":[""notice""],""component"":[""power""],""class"":[""power""],""target"":[""apc""]}","SOURCE FACT"
"1450031956","1450308158","1059103","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMMDN-VSSPM01","15373","MDN","Http Monitoring","http monitoring","","2026-04-15T08:16:20+07:00","2026-04-15T01:16:20Z","2026-04-15T09:06:15+07:00","2026-04-15T02:06:15Z","2995","49m 55s","0","UNKNOWN","UNKNOWN","UNKNOWN","web: http(s)","{""web"":[""http(s)""]}","SOURCE FACT"
"1450030443","1450626453","1059044","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMMDN-VSEMS01","15372","MDN","Http Monitoring","http monitoring","","2026-04-15T08:16:16+07:00","2026-04-15T01:16:16Z","2026-04-15T10:02:12+07:00","2026-04-15T03:02:12Z","6356","1h 45m 56s","0","UNKNOWN","UNKNOWN","UNKNOWN","web: http(s)","{""web"":[""http(s)""]}","SOURCE FACT"
"1450003326","1450026154","1059044","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMMDN-VSEMS01","15372","MDN","Http Monitoring","http monitoring","","2026-04-15T08:11:16+07:00","2026-04-15T01:11:16Z","2026-04-15T08:15:12+07:00","2026-04-15T01:15:12Z","236","3m 56s","0","UNKNOWN","UNKNOWN","UNKNOWN","web: http(s)","{""web"":[""http(s)""]}","SOURCE FACT"
"1449998439","1450308473","1059162","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMMDN-VSSPM02","15374","MDN","Http Monitoring","http monitoring","","2026-04-15T08:09:24+07:00","2026-04-15T01:09:24Z","2026-04-15T09:06:19+07:00","2026-04-15T02:06:19Z","3415","56m 55s","0","UNKNOWN","UNKNOWN","UNKNOWN","web: http(s)","{""web"":[""http(s)""]}","SOURCE FACT"
"1449959994","1449971628","1401427","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMSGN-VSEMS01","15355","SGN","Git HTTP Monitoring","git http monitoring","","2026-04-15T08:02:08+07:00","2026-04-15T01:02:08Z","2026-04-15T08:04:59+07:00","2026-04-15T01:04:59Z","171","2m 51s","0","UNKNOWN","UNKNOWN","UNKNOWN","web: http(s)","{""web"":[""http(s)""]}","SOURCE FACT"
